date,ticker,in_universe_flag
2021-11-04,WIPRO,True
2021-11-08,ADANIGREEN,True
2021-11-08,ADANIPORTS,True
2021-11-08,APOLLOHOSP,True
2021-11-08,ASIANPAINT,True
2021-11-08,AXISBANK,True
2021-11-08,BAJAJ-AUTO,True
2021-11-08,BAJAJFINSV,True
2021-11-08,BAJFINANCE,True
2021-11-08,BANDHANBNK,True
2021-11-08,BHARTIARTL,True
2021-11-08,BRITANNIA,True
2021-11-08,COALINDIA,True
2021-11-08,DIVISLAB,True
2021-11-08,DLF,True
2021-11-08,DRREDDY,True
2021-11-08,EICHERMOT,True
2021-11-08,GODREJCP,True
2021-11-08,GRASIM,True
2021-11-08,HAVELLS,True
2021-11-08,HCLTECH,True
2021-11-08,HDFCBANK,True
2021-11-08,HEROMOTOCO,True
2021-11-08,HINDALCO,True
2021-11-08,HINDUNILVR,True
2021-11-08,ICICIBANK,True
2021-11-08,ICICIGI,True
2021-11-08,ICICIPRULI,True
